baseNode,RUN01,,,,,,,,,,,,,,,
Root node,,,,,,,,,,,,,,,,
Root info,,,,,,,,,,,,,,,,
Run name,RUN01,,,,,,,,,,,,,,,
runInfo,,,,,,,,,,,,,,,,
Script info,,,,,,,,,,,,,,,,
Script name,RUN01,,,,,,,,,,,,,,,
scriptNode,RUN01,,,,,,,,,,,,,,,
Tree,bda,,,,,,,,,,,,,,,
Run info,,,,,,,,,,,,,,,,
,,,,Data,,,Time,,,Dimension 1,,,Dimension 2,,,
Node,Node,Node,Data node,Node type,Data,Unit,Description,Data,Unit,Description,Data,Unit,Description,Data,Unit,Description
PROFILES,R_MIDPLANE,,TE_ERR,SIGNAL,data['PROFILES']['R_MIDPLANE']['TE_ERR'],eV,Electron temperature error,,,,,,,,,
PROFILES,R_MIDPLANE,,TI,SIGNAL,data['PROFILES']['R_MIDPLANE']['TI'],eV,Ion temperature of main ion,,,,,,,,,
PROFILES,R_MIDPLANE,,TIZ1,SIGNAL,data['PROFILES']['R_MIDPLANE']['TIZ1'],eV,Ion temperature of impurity Z1,,,,,,,,,
PROFILES,R_MIDPLANE,,TIZ1_ERR,SIGNAL,data['PROFILES']['R_MIDPLANE']['TIZ1_ERR'],eV,Ion temperature of impurity Z1 error,,,,,,,,,
PROFILES,R_MIDPLANE,,TIZ2,SIGNAL,data['PROFILES']['R_MIDPLANE']['TIZ2'],eV,Ion temperature of impurity Z2,,,,,,,,,
PROFILES,R_MIDPLANE,,TIZ2_ERR,SIGNAL,data['PROFILES']['R_MIDPLANE']['TIZ2_ERR'],eV,Ion temperature of impurity Z2 error,,,,,,,,,
PROFILES,R_MIDPLANE,,TIZ3,SIGNAL,data['PROFILES']['R_MIDPLANE']['TIZ3'],dimensionless,Ion temperature of impurity Z3,,,,,,,,,
PROFILES,R_MIDPLANE,,TIZ3_ERR,SIGNAL,data['PROFILES']['R_MIDPLANE']['TIZ3_ERR'],dimensionless,Ion temperature of impurity Z3 error,,,,,,,,,
PROFILES,R_MIDPLANE,,TI_ERR,SIGNAL,data['PROFILES']['R_MIDPLANE']['TI_ERR'],eV,Ion temperature of main ion error,,,,,,,,,
PROFILES,R_MIDPLANE,,VOLUME,SIGNAL,data['PROFILES']['R_MIDPLANE']['VOLUME'],dimensionless,Volume inside magnetic surface,,,,,,,,,
PROFILES,R_MIDPLANE,,ZEFF,SIGNAL,data['PROFILES']['R_MIDPLANE']['ZEFF'],dimensionless,Effective charge,,,,,,,,,
PROFILES,R_MIDPLANE,,ZEFF_ERR,SIGNAL,data['PROFILES']['R_MIDPLANE']['ZEFF_ERR'],dimensionless,Effective charge error,,,,,,,,,
