sample_idx,pulse,t_s,timepoint_index,n_timepoints_for_pulse
64,11261,0.041974250227212906,0,8
65,11261,0.059370528906583786,1,8
66,11261,0.07404863834381104,2,8
67,11261,0.08872675150632858,3,8
68,11261,0.10340486466884613,4,8
69,11261,0.11808297783136368,5,8
70,11261,0.13276109099388123,6,8
71,11261,0.14961373805999756,7,8
72,11268,0.04034334793686867,0,8
73,11268,0.05121602118015289,1,8
74,11268,0.06317596882581711,2,8
75,11268,0.07404863834381104,3,8
76,11268,0.08600858598947525,4,8
77,11268,0.09688125550746918,5,8
78,11268,0.11155936866998672,6,8
79,11268,0.12949928641319275,7,8
80,11269,0.040886979550123215,0,8
81,11269,0.05610872805118561,1,8
82,11269,0.06806866824626923,2,8
83,11269,0.08002861589193344,3,8
84,11269,0.09198855608701706,4,8
85,11269,0.10829757153987885,5,8
86,11269,0.12623748183250427,6,8
87,11269,0.1441773921251297,7,8
88,11270,0.040886979550123215,0,8
89,11270,0.05556509271264076,1,8
90,11270,0.07187410444021225,2,8
91,11270,0.0854649469256401,3,8
92,11270,0.10177396237850189,4,8
93,11270,0.11645207554101944,5,8
94,11270,0.13276109099388123,6,8
95,11270,0.14907009899616241,7,8
96,11271,0.040886979550123215,0,8
97,11271,0.057195995002985,1,8
98,11271,0.07350500673055649,2,8
99,11271,0.08492131531238556,3,8
100,11271,0.09905579686164856,4,8
101,11271,0.11536480486392975,5,8
102,11271,0.13167381286621094,6,8
103,11271,0.14961373805999756,7,8
104,11274,0.04034334793686867,0,8
105,11274,0.0501287542283535,1,8
106,11274,0.05991416424512863,2,8
107,11274,0.06969957053661346,3,8
108,11274,0.0794849768280983,4,8
109,11274,0.08927038311958313,5,8
110,11274,0.09905579686164856,6,8
111,11274,0.10884120315313339,7,8
112,11294,0.040886979550123215,0,8
113,11294,0.050672389566898346,1,8
114,11294,0.06154506281018257,2,8
115,11294,0.0724177360534668,3,8
116,11294,0.08329041302204132,4,8
117,11294,0.09416308999061584,5,8
118,11294,0.10503576695919037,6,8
119,11294,0.12134477496147156,7,8
120,11297,0.040886979550123215,0,8
121,11297,0.05175965651869774,1,8
122,11297,0.06263232976198196,2,8
123,11297,0.07350500673055649,3,8
124,11297,0.08437768369913101,4,8
125,11297,0.09525036066770554,5,8
126,11297,0.10721030086278915,6,8
127,11297,0.12351931631565094,7,8
128,11298,0.040886979550123215,0,8
129,11298,0.04958512261509895,1,8
130,11298,0.05556509271264076,2,8
131,11298,0.06263232976198196,3,8
132,11298,0.0724177360534668,4,8
133,11298,0.08111587911844254,5,8
134,11298,0.08981402218341827,6,8
135,11298,0.0995994284749031,7,8
136,11306,0.04034334793686867,0,8
137,11306,0.05502145737409592,1,8
138,11306,0.0713304728269577,2,8
139,11306,0.08600858598947525,3,8
140,11306,0.10231759399175644,4,8
141,11306,0.11699570715427399,5,8
142,11306,0.13330471515655518,6,8
143,11306,0.14961373805999756,7,8
144,11308,0.04034334793686867,0,8
145,11308,0.05502145737409592,1,8
146,11308,0.0713304728269577,2,8
147,11308,0.08600858598947525,3,8
148,11308,0.10231759399175644,4,8
149,11308,0.11699570715427399,5,8
150,11308,0.13330471515655518,6,8
151,11308,0.14961373805999756,7,8
152,11334,0.041974250227212906,0,8
153,11334,0.059370528906583786,1,8
154,11334,0.07513590902090073,2,8
155,11334,0.08981402218341827,3,8
156,11334,0.10286123305559158,4,8
157,11334,0.11753933876752853,5,8
158,11334,0.13058654963970184,6,8
159,11334,0.14961373805999756,7,8
160,11337,0.041974250227212906,0,8
161,11337,0.059370528906583786,1,8
162,11337,0.07513590902090073,2,8
163,11337,0.08981402218341827,3,8
164,11337,0.10286123305559158,4,8
165,11337,0.11753933876752853,5,8
166,11337,0.13058654963970184,6,8
167,11337,0.14961373805999756,7,8
168,11339,0.04143061488866806,0,8
169,11339,0.05610872805118561,1,8
170,11339,0.07078684121370316,2,8
171,11339,0.08709584921598434,3,8
172,11339,0.10177396237850189,4,8
173,11339,0.11808297783136368,5,8
174,11339,0.13276109099388123,6,8
175,11339,0.14907009899616241,7,8
176,11340,0.041974250227212906,0,8
177,11340,0.05773962661623955,1,8
178,11340,0.0724177360534668,2,8
179,11340,0.08709584921598434,3,8
180,11340,0.10177396237850189,4,8
181,11340,0.11645207554101944,5,8
182,11340,0.131130188703537,6,8
183,11340,0.14798283576965332,7,8
184,11341,0.041974250227212906,0,8
185,11341,0.059370528906583786,1,8
186,11341,0.07513590902090073,2,8
187,11341,0.08981402218341827,3,8
188,11341,0.10286123305559158,4,8
189,11341,0.11753933876752853,5,8
190,11341,0.13058654963970184,6,8
191,11341,0.14961373805999756,7,8
192,11342,0.040886979550123215,0,8
193,11342,0.057195995002985,1,8
194,11342,0.06915593892335892,2,8
195,11342,0.08002861589193344,3,8
196,11342,0.09198855608701706,4,8
197,11342,0.10721030086278915,5,8
198,11342,0.12351931631565094,6,8
199,11342,0.1430901288986206,7,8
200,11359,0.041974250227212906,0,8
201,11359,0.059370528906583786,1,8
202,11359,0.07513590902090073,2,8
203,11359,0.08981402218341827,3,8
204,11359,0.10286123305559158,4,8
205,11359,0.11753933876752853,5,8
206,11359,0.13058654963970184,6,8
207,11359,0.14961373805999756,7,8
208,11365,0.041974250227212906,0,8
209,11365,0.059370528906583786,1,8
210,11365,0.07513590902090073,2,8
211,11365,0.08981402218341827,3,8
212,11365,0.10286123305559158,4,8
213,11365,0.11753933876752853,5,8
214,11365,0.13058654963970184,6,8
215,11365,0.14961373805999756,7,8
